Precipitacion;Temp_Aire_med;Temp_Aire_max;Temp_Aire_min;Temp_Rocio_med;Humedad_med;Presion_Atm_med;Insolacion;Evaporacion;semana
0,0;30,5;34,5;23,6;23,4;68,0;993,0;s/d;0,0;9,0
49,2;31,9;35,0;26,2;23,7;63,0;994,0;s/d;49,2;9,0
1,6;26,3;29,5;23,2;24,7;91,0;993,0;s/d;1,6;9,0
0,0;27,3;30,5;24,6;23,3;79,0;994,0;s/d;0,0;10,0
0,0;29,4;33,9;23,2;23,8;72,0;997,0;s/d;0,0;10,0
0,0;30,6;35,1;25,0;24,3;70,0;998,0;9,0;0,0;10,0
0,0;31,7;35,1;25,6;24,3;66,0;994,0;10,5;0,0;10,0
0,0;31,6;36,2;27,9;22,4;59,0;991,0;s/d;0,0;10,0
6,2;27,7;32,5;27,6;22,8;75,0;997,0;2,9;6,2;10,0
0,0;29,8;35,0;24,2;24,3;73,0;995,0;7,0;0,0;10,0
6,5;28,1;30,0;26,2;21,3;79,0;1000,0;2,2;6,5;11,0
0,0;20,7;27,0;17,0;13,3;63,0;1002,0;10,2;0,0;11,0
0,0;24,7;31,0;14,2;15,8;59,0;999,0;10,0;0,0;11,0
14,6;30,3;36,1;21,5;22,7;65,0;995,0;9,8;14,6;11,0
1,1;25,3;29,0;21,6;18,4;86,0;1001,0;0,0;1,1;11,0
0,0;21,4;26,0;18,0;14,6;67,0;1005,0;7,7;0,0;11,0
0,0;21,8;27,0;14,2;14,2;64,0;1004,0;10,2;0,0;11,0
0,0;24,7;30,5;16,8;19,3;73,0;1002,0;s/d;0,0;12,0
0,0;23,0;26,5;19,5;20,2;68,0;1003,0;10,0;0,0;12,0
0,0;27,8;32,5;20,2;19,2;61,0;1004,0;10,2;0,0;12,0
0,0;25,7;30,0;21,2;20,0;72,0;1003,0;2,2;0,0;12,0
21,3;27,1;32,0;23,7;20,9;71,0;1001,0;4,5;21,3;12,0
0,0;28,2;32,5;22,1;22,3;71,0;998,0;7,9;0,0;12,0
14,1;27,6;32,3;23,0;22,9;77,0;998,0;3,2;14,1;12,0
1,5;22,9;26,0;22,2;21,5;92,0;997,0;0,0;1,5;13,0
0,0;26,7;31,0;20,0;21,2;73,0;1000,0;9,5;0,0;13,0
0,0;27,8;32,0;21,5;21,4;69,0;1002,0;9,0;0,0;13,0
